Test,Before,After,Percentage
math_inline_tests::math_log_u16,183,177,3.28
math_inline_tests::math_log_u256,9796,9355,4.50
math_inline_tests::math_log_u32,183,177,3.28
math_inline_tests::math_log_u64,316,304,3.80
math_inline_tests::math_log_u8,183,177,3.28
math_inline_tests::math_power_u16,964,900,6.64
math_inline_tests::math_power_u256,10302,10010,2.83
math_inline_tests::math_power_u32,844,788,6.64
math_inline_tests::math_power_u64,552,524,5.07
math_inline_tests::math_power_u8,1204,1124,6.64
math_inline_tests::math_root_u16,600,578,3.67
math_inline_tests::math_root_u256,11890,11868,0.19
math_inline_tests::math_root_u256_disable_overflow,11920,11897,0.19
math_inline_tests::math_root_u256_unsafe_math,11920,11897,0.19
math_inline_tests::math_root_u32,600,578,3.67
math_inline_tests::math_root_u64,600,578,3.67
math_inline_tests::math_root_u8,441,425,3.63
math_inline_tests::math_u16_0th_root_fail,11,10,9.09
math_inline_tests::math_u16_add,425,408,4.00
math_inline_tests::math_u16_disable_overflow,630,607,3.65
math_inline_tests::math_u16_divide,242,234,3.31
math_inline_tests::math_u16_divide_by_zero_unsafe_math,112,109,2.68
math_inline_tests::math_u16_log2_fail_x_0,10,9,10.00
math_inline_tests::math_u16_log2_fail_x_0_disable_overflow,40,38,5.00
math_inline_tests::math_u16_log2_fail_x_0_unsafe_math,78,75,3.85
math_inline_tests::math_u16_log_fail_base_0,10,9,10.00
math_inline_tests::math_u16_log_fail_base_0_disable_overflow,40,38,5.00
math_inline_tests::math_u16_log_fail_base_1,10,9,10.00
math_inline_tests::math_u16_log_fail_base_1_disable_overflow,40,38,5.00
math_inline_tests::math_u16_log_fail_x_0,10,9,10.00
math_inline_tests::math_u16_log_fail_x_0_disable_overflow,40,38,5.00
math_inline_tests::math_u16_log_parity_with_ruint,575642,568342,1.27
math_inline_tests::math_u16_log_unsafe_math,134,127,5.22
math_inline_tests::math_u16_modulo,312,300,3.85
math_inline_tests::math_u16_modulo_unsafe_math,121,117,3.31
math_inline_tests::math_u16_mul,847,813,4.01
math_inline_tests::math_u16_overflow_add,578,551,4.67
math_inline_tests::math_u16_overflow_mul,196,188,4.08
math_inline_tests::math_u16_overflow_pow,140,133,5.00
math_inline_tests::math_u16_sub,862,826,4.18
math_inline_tests::math_u16_underflow_sub,246,235,4.47
math_inline_tests::math_u16_unsafe_math,630,607,3.65
math_inline_tests::math_u16_zero,71,69,2.82
math_inline_tests::math_u256_add,335,330,1.49
math_inline_tests::math_u256_divide,447,439,1.79
math_inline_tests::math_u256_divide_by_zero_unsafe_math,177,174,1.69
